   ic    phi          rho         theta         alfa       epsilon         mu           r            b          gamma
1443 3.008346e-01 4.363064e-01 6.640660e-06 6.023662e-08 1.595275e-01 5.773720e-03 6.879373e-02 1.021618e-12 5.881531e-06  
1444 2.070185e-01 4.094897e-01 4.578570e-06 2.350746e-08 2.086694e-01 2.692004e-03 7.982552e-02 1.752873e-12 3.518937e-06  
1445 2.711965e-01 3.854570e-01 2.423058e-06 2.183797e-08 1.732484e-01 7.621106e-03 4.147440e-02 8.544981e-13 3.927801e-06  
1446 3.620692e-01 4.681538e-01 2.788993e-06 6.719655e-08 2.308286e-01 7.355628e-03 8.032829e-02 7.926263e-13 3.690807e-06  
1447 2.820133e-01 4.474079e-01 2.801092e-06 4.223769e-08 1.766981e-01 2.690046e-03 4.745155e-02 5.701723e-13 5.375712e-06  
1448 1.281647e-01 3.112124e-01 7.846951e-06 6.531616e-08 2.302490e-01 7.238026e-03 5.765442e-02 1.514174e-12 2.757340e-06  
1449 3.320798e-01 3.800386e-01 3.016823e-06 5.858484e-08 1.177289e-01 5.923128e-03 6.875646e-02 1.414581e-12 2.859683e-06  
1450 2.468966e-01 3.807591e-01 8.560607e-06 6.814905e-08 1.977714e-01 5.672913e-03 8.263281e-02 2.244820e-12 3.771967e-06  
1451 2.667975e-01 3.514746e-01 4.766916e-06 3.494283e-08 2.188888e-01 7.722213e-03 4.213459e-02 6.010345e-13 4.710973e-06  
1452 2.386003e-01 3.040578e-01 7.635892e-06 3.703934e-08 8.974175e-02 2.765396e-03 9.007779e-02 9.025609e-13 3.124490e-06  
1453 2.512072e-01 3.074425e-01 5.005666e-06 2.400275e-08 1.490387e-01 6.494877e-03 7.038099e-02 1.250312e-12 2.211063e-06  
1454 1.448904e-01 1.594050e-01 2.623242e-06 6.283050e-08 1.071014e-01 6.047664e-03 8.654558e-02 6.622342e-13 1.945998e-06  
1455 1.439018e-01 2.138128e-01 6.070335e-06 5.355107e-08 2.003579e-01 2.894461e-03 8.451188e-02 1.561919e-12 4.741651e-06  
1456 2.415735e-01 2.921364e-01 6.566710e-06 7.084499e-08 9.968035e-02 4.533936e-03 7.127810e-02 1.501274e-12 1.774372e-06  
1457 2.223826e-01 3.521443e-01 7.602492e-06 4.294777e-08 1.488278e-01 7.330163e-03 5.182894e-02 1.398117e-12 3.034108e-06  
1458 1.617746e-01 1.958557e-01 5.699136e-06 6.559667e-08 8.988840e-02 4.290345e-03 7.215011e-02 1.536046e-12 1.792560e-06  
1459 3.815873e-01 4.476935e-01 8.906849e-06 6.858931e-08 1.625802e-01 6.752428e-03 4.747132e-02 2.168144e-12 1.686294e-06  
1460 1.762501e-01 1.777733e-01 8.075809e-06 2.313040e-08 1.001707e-01 4.472711e-03 5.848869e-02 1.166808e-12 3.495499e-06  
1461 1.588727e-01 2.646888e-01 6.032549e-06 5.875506e-08 2.303221e-01 3.759649e-03 4.140343e-02 1.432069e-12 3.086930e-06  
1462 1.978814e-01 2.294942e-01 3.816020e-06 4.195068e-08 1.943632e-01 2.590944e-03 5.695501e-02 9.081436e-13 3.571508e-06  
1463 3.870784e-01 4.495733e-01 6.277011e-06 4.044442e-08 9.686693e-02 2.439570e-03 4.847248e-02 1.632119e-12 4.699854e-06  
1464 3.297105e-01 5.094206e-01 3.124859e-06 5.054743e-08 1.854109e-01 6.966702e-03 5.091662e-02 1.530211e-12 1.677615e-06  
1465 2.822289e-01 3.226928e-01 7.599470e-06 2.581613e-08 2.175461e-01 6.027181e-03 4.824818e-02 6.337028e-13 2.810976e-06  
1466 2.011965e-01 3.153787e-01 7.596353e-06 5.314887e-08 1.669541e-01 4.673425e-03 7.773453e-02 1.097842e-12 2.806479e-06  
1467 2.963347e-01 3.206374e-01 9.572732e-06 5.829872e-08 1.980998e-01 6.378579e-03 7.783477e-02 1.446878e-12 3.676056e-06  
1468 2.246484e-01 2.480662e-01 5.513377e-06 4.021613e-08 2.117005e-01 6.560871e-03 9.020545e-02 1.027370e-12 1.741569e-06  
1469 3.042675e-01 3.364926e-01 8.259202e-06 2.769023e-08 1.033753e-01 5.077829e-03 6.937664e-02 1.880902e-12 3.007636e-06  
1470 3.507522e-01 4.159778e-01 8.679753e-06 6.047704e-08 8.161651e-02 3.053164e-03 6.023044e-02 1.516552e-12 2.895579e-06  
1471 3.256272e-01 3.937498e-01 9.315171e-06 4.310387e-08 2.288669e-01 3.446026e-03 6.047727e-02 1.001861e-12 2.404047e-06  
1472 2.383235e-01 2.819411e-01 9.527396e-06 3.321138e-08 1.441766e-01 3.903689e-03 5.082379e-02 6.926611e-13 4.255978e-06  
1473 2.774166e-01 3.214924e-01 4.873235e-06 6.967617e-08 1.839272e-01 7.278828e-03 5.501007e-02 2.017518e-12 3.462907e-06  
1474 3.966695e-01 4.364807e-01 3.731693e-06 2.078484e-08 1.291989e-01 6.907493e-03 5.982473e-02 6.061342e-13 3.801763e-06  
1475 4.083637e-01 4.591166e-01 7.750013e-06 5.397918e-08 1.804557e-01 3.184886e-03 7.271238e-02 1.590897e-12 1.994781e-06  
1476 4.225043e-01 5.334652e-01 4.246449e-06 5.953933e-08 1.486985e-01 2.585514e-03 4.875536e-02 7.463144e-13 3.769237e-06  
1477 3.604294e-01 3.950246e-01 2.815755e-06 4.372505e-08 2.100310e-01 6.383438e-03 6.803036e-02 6.312861e-13 3.609417e-06  
1478 3.326814e-01 3.964383e-01 6.900582e-06 6.407894e-08 1.189196e-01 3.889881e-03 5.215166e-02 8.183168e-13 4.840599e-06  
1479 3.943326e-01 4.578289e-01 9.331362e-06 5.462240e-08 9.251169e-02 4.158383e-03 5.826372e-02 1.187254e-12 1.950492e-06  
1480 3.506752e-01 4.180477e-01 5.431422e-06 5.698759e-08 2.009978e-01 2.010479e-03 6.957119e-02 1.320917e-12 4.834496e-06  
1481 3.519608e-01 4.558616e-01 4.965776e-06 6.469509e-08 2.073630e-01 3.428780e-03 6.959391e-02 1.116764e-12 3.970993e-06  
1482 1.992717e-01 4.003326e-01 4.236145e-06 3.566740e-08 2.176220e-01 6.836136e-03 7.774828e-02 7.442605e-13 1.710918e-06  
1483 3.925578e-01 4.036707e-01 2.651035e-06 7.060911e-08 8.606165e-02 4.284823e-03 8.696909e-02 2.150602e-12 1.548887e-06  
1484 1.239461e-01 2.436530e-01 6.735696e-06 4.334050e-08 2.236997e-01 2.433748e-03 7.663361e-02 2.072193e-12 1.897472e-06  
1485 3.705407e-01 5.535339e-01 2.852397e-06 5.045238e-08 2.305509e-01 4.036649e-03 6.810344e-02 1.288108e-12 5.753212e-06  
1486 1.355415e-01 1.438525e-01 2.585458e-06 2.765513e-08 2.329965e-01 7.028064e-03 8.711707e-02 6.477007e-13 3.587158e-06  
1487 2.688189e-01 3.910729e-01 4.477931e-06 4.191208e-08 1.291419e-01 2.053249e-03 6.722568e-02 1.635236e-12 3.600201e-06  
1488 3.967244e-01 4.908750e-01 4.168299e-06 3.340073e-08 1.167608e-01 2.351965e-03 7.006317e-02 8.916894e-13 5.693978e-06  
1489 3.968528e-01 5.570531e-01 3.893486e-06 4.864838e-08 1.744769e-01 3.363842e-03 6.910818e-02 2.011843e-12 4.284336e-06  
1490 3.060821e-01 4.006035e-01 6.772806e-06 6.745423e-08 1.142064e-01 2.871072e-03 4.336118e-02 8.293149e-13 4.120797e-06  
1491 1.996714e-01 2.257507e-01 8.807941e-06 6.344106e-08 1.734437e-01 7.278343e-03 7.289290e-02 6.803184e-13 4.031917e-06  
1492 2.875093e-01 3.791949e-01 7.135908e-06 3.850654e-08 1.417330e-01 3.560644e-03 8.983655e-02 1.722362e-12 4.086934e-06  
1493 2.111505e-01 2.857642e-01 4.059228e-06 2.702509e-08 1.045655e-01 4.316664e-03 8.596441e-02 1.946724e-12 1.589819e-06  
1494 3.935918e-01 4.115266e-01 4.213045e-06 4.326118e-08 1.781758e-01 5.381405e-03 7.412205e-02 1.195787e-12 5.378304e-06  
1495 1.569021e-01 2.703457e-01 5.825937e-06 2.614679e-08 1.620025e-01 4.929303e-03 8.598526e-02 1.470181e-12 5.791837e-06  
1496 1.595399e-01 1.744096e-01 3.195741e-06 6.552237e-08 2.330185e-01 4.060876e-03 7.980137e-02 1.397922e-12 4.484626e-06  
1497 3.113105e-01 3.734241e-01 5.634119e-06 2.519716e-08 1.903540e-01 7.603045e-03 5.538471e-02 8.940386e-13 5.206528e-06  
1498 2.213163e-01 4.203853e-01 6.236273e-06 6.047984e-08 2.360149e-01 3.308934e-03 4.674650e-02 1.906977e-12 3.163002e-06  
1499 1.217965e-01 2.090869e-01 3.503931e-06 3.195212e-08 1.188323e-01 7.915633e-03 6.319762e-02 2.173443e-12 1.554455e-06  
1500 1.605509e-01 2.454591e-01 3.949428e-06 3.462269e-08 1.282456e-01 4.601381e-03 5.881896e-02 1.571678e-12 3.352037e-06  
1501 4.204279e-01 4.650058e-01 7.702194e-06 4.990761e-08 2.251911e-01 7.129620e-03 5.086961e-02 9.198583e-13 5.906237e-06  
1502 1.073709e-01 2.391353e-01 6.753405e-06 6.045599e-08 1.871313e-01 4.632470e-03 4.245987e-02 1.535812e-12 3.911385e-06  
1503 3.568465e-01 4.779722e-01 8.770673e-06 2.805343e-08 1.686450e-01 4.851477e-03 4.793051e-02 1.191693e-12 2.297687e-06  
1504 4.039917e-01 5.036782e-01 6.321311e-06 5.441051e-08 2.135597e-01 2.068686e-03 7.864364e-02 1.962111e-12 2.033503e-06  
1505 3.297717e-01 4.535630e-01 5.582329e-06 4.216579e-08 1.664618e-01 3.401760e-03 6.815735e-02 6.008593e-13 3.198838e-06  
1506 2.213484e-01 2.575432e-01 6.553284e-06 3.473929e-08 7.252238e-02 5.346582e-03 5.254335e-02 9.348573e-13 3.956110e-06  
1507 2.157301e-01 2.191622e-01 7.669745e-06 5.703472e-08 6.905783e-02 5.287507e-03 4.216252e-02 1.815439e-12 3.598618e-06  
1508 1.556510e-01 2.684037e-01 7.085599e-06 6.716169e-08 1.930466e-01 2.337716e-03 6.662870e-02 2.140885e-12 1.764082e-06  
1509 3.947190e-01 5.129026e-01 9.430363e-06 6.259328e-08 1.920907e-01 5.699887e-03 5.184897e-02 1.926367e-12 3.072349e-06  
1510 2.091938e-01 3.086016e-01 4.438454e-06 3.890477e-08 1.586630e-01 7.739282e-03 7.042019e-02 1.763962e-12 5.306579e-06  
1511 3.043360e-01 4.750207e-01 7.494382e-06 2.205524e-08 2.220457e-01 3.974351e-03 5.507040e-02 8.665426e-13 2.291128e-06  
1512 3.505853e-01 4.565450e-01 4.144817e-06 4.532759e-08 2.151746e-01 6.512693e-03 6.441198e-02 2.026855e-12 5.037982e-06  
1513 3.149899e-01 3.778295e-01 3.861155e-06 5.265356e-08 1.767461e-01 4.829918e-03 8.669196e-02 1.474731e-12 5.399465e-06  
1514 3.662530e-01 4.912658e-01 7.080087e-06 6.356809e-08 1.780012e-01 3.378656e-03 8.470616e-02 1.491095e-12 1.519688e-06  
1515 3.126978e-01 3.714663e-01 4.877260e-06 6.923671e-08 9.559586e-02 2.941091e-03 9.033365e-02 2.228221e-12 4.852668e-06  
1516 1.261886e-01 1.607204e-01 8.379735e-06 4.816787e-08 1.594886e-01 3.788017e-03 6.714167e-02 2.059624e-12 5.843615e-06  
1517 3.602989e-01 3.824579e-01 8.866041e-06 6.407741e-08 1.145458e-01 4.602772e-03 8.278776e-02 1.713183e-12 5.860316e-06  
1518 4.150362e-01 4.767290e-01 5.639990e-06 3.209191e-08 1.448109e-01 7.311300e-03 8.020623e-02 7.174522e-13 4.878768e-06  
1519 3.909733e-01 4.312814e-01 6.898748e-06 3.041888e-08 8.231578e-02 5.168229e-03 6.880193e-02 1.061604e-12 4.014008e-06  
1520 3.938020e-01 4.198258e-01 9.039552e-06 6.801454e-08 1.459465e-01 6.981727e-03 5.875868e-02 1.810142e-12 4.296562e-06  
1521 3.320813e-01 3.455885e-01 9.273622e-06 5.908545e-08 2.177329e-01 5.599236e-03 6.279453e-02 6.864907e-13 3.369004e-06  
1522 1.505968e-01 2.811389e-01 3.209262e-06 2.992774e-08 1.434807e-01 6.840394e-03 7.668880e-02 1.513398e-12 2.816520e-06  
1523 1.373345e-01 2.579287e-01 7.111078e-06 5.963241e-08 2.330859e-01 7.822203e-03 8.651985e-02 1.101355e-12 5.790907e-06  
1524 2.622880e-01 4.029825e-01 5.333638e-06 3.690631e-08 2.163028e-01 5.243686e-03 8.956258e-02 1.736667e-12 4.990329e-06  
1525 1.453457e-01 1.720408e-01 4.377464e-06 3.646836e-08 1.588024e-01 7.061918e-03 7.142469e-02 1.541039e-12 2.315695e-06  
1526 3.580062e-01 4.791855e-01 7.272783e-06 4.745558e-08 2.319797e-01 3.222331e-03 7.434692e-02 1.942249e-12 2.712858e-06  
1527 3.809457e-01 4.014926e-01 2.771912e-06 5.817482e-08 2.128368e-01 2.570567e-03 8.626483e-02 1.781401e-12 1.545486e-06  
1528 2.906480e-01 3.741846e-01 3.458339e-06 4.581853e-08 9.324027e-02 7.517106e-03 8.105181e-02 1.662677e-12 4.277652e-06  
1529 1.700580e-01 1.968253e-01 8.190141e-06 3.092610e-08 1.273499e-01 7.746800e-03 4.809353e-02 2.175303e-12 4.866029e-06  
1530 1.894959e-01 1.979381e-01 4.532376e-06 5.477520e-08 9.354452e-02 2.412037e-03 7.080147e-02 7.173185e-13 5.447491e-06  
1531 2.432734e-01 3.723362e-01 7.566627e-06 3.747209e-08 1.846841e-01 7.342715e-03 7.730217e-02 8.384709e-13 3.270042e-06  
1532 1.245167e-01 2.338213e-01 3.750109e-06 3.347631e-08 1.159730e-01 5.835998e-03 6.054406e-02 1.200356e-12 3.565372e-06  
1533 2.624613e-01 3.035791e-01 7.278789e-06 7.045195e-08 1.953103e-01 6.863670e-03 8.577578e-02 1.244293e-12 1.735920e-06  
1534 3.292480e-01 3.726283e-01 8.677106e-06 6.335629e-08 1.203712e-01 2.191423e-03 7.655389e-02 1.477544e-12 3.907776e-06  
1535 2.479938e-01 2.700011e-01 9.341394e-06 3.357592e-08 1.630192e-01 2.725565e-03 6.320813e-02 8.300907e-13 2.624338e-06  
1536 2.399015e-01 3.156233e-01 6.771500e-06 6.961910e-08 1.503297e-01 5.825268e-03 8.054563e-02 1.784327e-12 5.603050e-06  
1537 1.416102e-01 1.909144e-01 3.696687e-06 2.568438e-08 9.413466e-02 5.952142e-03 7.206543e-02 5.662320e-13 2.668892e-06  
1538 1.978410e-01 3.000984e-01 8.251846e-06 2.896794e-08 1.763661e-01 7.494190e-03 7.743789e-02 1.963976e-12 5.356282e-06  
1539 1.145902e-01 3.084552e-01 8.701110e-06 2.264419e-08 2.227759e-01 3.951157e-03 6.822312e-02 1.324404e-12 3.526770e-06  
1540 2.523454e-01 4.479684e-01 4.292926e-06 2.137047e-08 2.383522e-01 2.233494e-03 5.681388e-02 9.325952e-13 5.371606e-06  
1541 2.243913e-01 3.460531e-01 3.559059e-06 3.662598e-08 1.913756e-01 7.539008e-03 4.889737e-02 1.062451e-12 4.258494e-06  
1542 3.250504e-01 3.257627e-01 6.750299e-06 4.611771e-08 1.730885e-01 6.977500e-03 8.900476e-02 7.848234e-13 2.271316e-06  
1543 1.177319e-01 2.007706e-01 5.882051e-06 6.307095e-08 1.302628e-01 3.940294e-03 8.888236e-02 1.505866e-12 2.214093e-06  
1544 2.193705e-01 2.596943e-01 8.099859e-06 6.819716e-08 2.038501e-01 5.716752e-03 8.036389e-02 1.830604e-12 1.890494e-06  
1545 3.072150e-01 3.522905e-01 8.942728e-06 2.257251e-08 2.190293e-01 7.551919e-03 5.734786e-02 5.930049e-13 1.840585e-06  
1546 2.541206e-01 2.986142e-01 4.792647e-06 3.681912e-08 1.875213e-01 5.176012e-03 5.104913e-02 2.061306e-12 2.514853e-06  
1547 2.421995e-01 2.756915e-01 6.594693e-06 4.433697e-08 2.181150e-01 3.073477e-03 7.906794e-02 1.626030e-12 5.099997e-06  
1548 3.952368e-01 5.255651e-01 8.590000e-06 3.510268e-08 2.148198e-01 4.383175e-03 6.993787e-02 9.948214e-13 5.679952e-06  
1549 3.964527e-01 4.325061e-01 6.803931e-06 4.154019e-08 1.384651e-01 7.934509e-03 6.621790e-02 7.634154e-13 4.917218e-06  
1550 3.303883e-01 3.933909e-01 7.879656e-06 6.924923e-08 1.235076e-01 4.965891e-03 6.030142e-02 1.692333e-12 5.689175e-06  
1551 3.084742e-01 3.227617e-01 7.499082e-06 2.393622e-08 1.990951e-01 3.823072e-03 4.672683e-02 1.376577e-12 2.655514e-06  
1552 1.876157e-01 2.379434e-01 4.416416e-06 6.078132e-08 1.191075e-01 5.817147e-03 8.885946e-02 1.652820e-12 3.119275e-06  
1553 2.564265e-01 4.310267e-01 7.801480e-06 5.534213e-08 2.099134e-01 7.690912e-03 7.691038e-02 2.121644e-12 2.227146e-06  
1554 3.096942e-01 3.892458e-01 9.368086e-06 3.749135e-08 1.286175e-01 5.429861e-03 5.941999e-02 1.244211e-12 4.329737e-06  
1555 1.313772e-01 1.477899e-01 2.782310e-06 4.550011e-08 1.170451e-01 7.474173e-03 7.661245e-02 1.206126e-12 5.801109e-06  
1556 2.201366e-01 2.861836e-01 5.631383e-06 3.902870e-08 6.695703e-02 7.137066e-03 5.913476e-02 1.590151e-12 2.195261e-06  
1557 3.471619e-01 4.592447e-01 4.140964e-06 4.587374e-08 1.298047e-01 7.085698e-03 5.785928e-02 2.230831e-12 4.897273e-06  
1558 3.124110e-01 3.985754e-01 6.940666e-06 5.117351e-08 1.016855e-01 7.969231e-03 5.159667e-02 1.125022e-12 3.436216e-06  
1559 1.087346e-01 1.705226e-01 4.840003e-06 2.792339e-08 2.084035e-01 2.139320e-03 6.730027e-02 1.013475e-12 2.816577e-06  
1560 1.908223e-01 2.230805e-01 9.106417e-06 6.119397e-08 1.190172e-01 3.927843e-03 7.624716e-02 2.233917e-12 3.853272e-06  
1561 1.580222e-01 2.105512e-01 5.443189e-06 4.508184e-08 2.028317e-01 5.075944e-03 6.920563e-02 1.694737e-12 1.580763e-06  
1562 1.298030e-01 2.284863e-01 9.040023e-06 2.960437e-08 1.893052e-01 7.315408e-03 6.425682e-02 1.952746e-12 4.170223e-06  
1563 2.544070e-01 4.250144e-01 7.802026e-06 5.435369e-08 2.099059e-01 5.772233e-03 7.278575e-02 8.562293e-13 4.870292e-06  
1564 2.315339e-01 2.489502e-01 4.634223e-06 6.542972e-08 1.748054e-01 3.712107e-03 4.165935e-02 1.571322e-12 5.200748e-06  
1565 3.092258e-01 3.824117e-01 6.096761e-06 5.292174e-08 1.976221e-01 2.814393e-03 4.952857e-02 2.187386e-12 4.532112e-06  
1566 1.610771e-01 3.429977e-01 4.506083e-06 2.478509e-08 1.900058e-01 3.423749e-03 4.334043e-02 7.991727e-13 4.716418e-06  
1567 2.682573e-01 3.155584e-01 8.836753e-06 4.822204e-08 1.595847e-01 6.210230e-03 7.478070e-02 1.302131e-12 1.605748e-06  
1568 3.188920e-01 4.453033e-01 6.497012e-06 2.581182e-08 1.725915e-01 5.674436e-03 8.933209e-02 1.547936e-12 1.734072e-06  
1569 4.176985e-01 4.944965e-01 4.680313e-06 2.555296e-08 2.313783e-01 7.148444e-03 6.933558e-02 7.592314e-13 5.659402e-06  
1570 2.895551e-01 3.728540e-01 2.411608e-06 4.957791e-08 1.290943e-01 5.761017e-03 7.485212e-02 2.231001e-12 4.731439e-06  
1571 3.322324e-01 3.976519e-01 9.052506e-06 3.308087e-08 1.850197e-01 5.899647e-03 5.284727e-02 1.689651e-12 5.677405e-06  
1572 2.290458e-01 3.798396e-01 3.450593e-06 5.324472e-08 1.975713e-01 3.077664e-03 7.846486e-02 1.936166e-12 4.409144e-06  
1573 1.699934e-01 2.429094e-01 4.695985e-06 3.120447e-08 1.345671e-01 7.570922e-03 8.356744e-02 1.877737e-12 3.705105e-06  
1574 4.016208e-01 4.046476e-01 3.716876e-06 4.758850e-08 1.251250e-01 5.793160e-03 4.684851e-02 5.790832e-13 2.081151e-06  
1575 4.015075e-01 4.275836e-01 4.068301e-06 3.659273e-08 1.472456e-01 3.384052e-03 5.717638e-02 8.858992e-13 3.884534e-06  
1576 3.118894e-01 4.177918e-01 7.878101e-06 5.699529e-08 1.654565e-01 6.389155e-03 8.905750e-02 1.993663e-12 5.712054e-06  
1577 3.767430e-01 4.613980e-01 8.758853e-06 4.649874e-08 1.576874e-01 4.130495e-03 6.941917e-02 1.149597e-12 1.902554e-06  
1578 2.089281e-01 3.545873e-01 2.885483e-06 4.780430e-08 1.819810e-01 4.773112e-03 8.151341e-02 1.796341e-12 5.613998e-06  
1579 2.495014e-01 3.557193e-01 5.022682e-06 3.538740e-08 1.155172e-01 7.520088e-03 7.598693e-02 1.386193e-12 3.774551e-06  
1580 3.740122e-01 4.505019e-01 8.224837e-06 4.840740e-08 1.439312e-01 3.446131e-03 4.731231e-02 1.122477e-12 3.430692e-06  
1581 1.605148e-01 2.537610e-01 8.718242e-06 3.370320e-08 1.574104e-01 6.419124e-03 5.931487e-02 1.089633e-12 5.558796e-06  
1582 3.807556e-01 4.131748e-01 6.366753e-06 6.403423e-08 8.585702e-02 4.014656e-03 8.581191e-02 1.910703e-12 1.612782e-06  
1583 1.464015e-01 1.854836e-01 8.355913e-06 3.930944e-08 8.724681e-02 5.562305e-03 7.102694e-02 1.526731e-12 3.061878e-06  
1584 3.167789e-01 3.445786e-01 5.489675e-06 4.289703e-08 1.718504e-01 5.009756e-03 7.152969e-02 1.598874e-12 2.614213e-06  
1585 3.826468e-01 4.154465e-01 7.660165e-06 5.409528e-08 8.513113e-02 5.582443e-03 5.832415e-02 1.653090e-12 2.835269e-06  
1586 1.809410e-01 2.592569e-01 4.711210e-06 5.225461e-08 9.472676e-02 2.837304e-03 4.291877e-02 1.464141e-12 2.935848e-06  
1587 2.422184e-01 2.462090e-01 6.529453e-06 4.952624e-08 1.785288e-01 6.182044e-03 8.449140e-02 2.172570e-12 3.234593e-06  
1588 4.069474e-01 4.765093e-01 7.545624e-06 3.492306e-08 8.265663e-02 2.325995e-03 5.903724e-02 1.971865e-12 3.102547e-06  
1589 1.967663e-01 2.317766e-01 6.415450e-06 4.906954e-08 1.396210e-01 2.583079e-03 6.366409e-02 1.894891e-12 5.763191e-06  
1590 1.470618e-01 1.523843e-01 7.234897e-06 5.026808e-08 1.584994e-01 6.986574e-03 8.580381e-02 1.967430e-12 1.514472e-06  
1591 2.208165e-01 2.819301e-01 4.464358e-06 7.073006e-08 6.382194e-02 7.997900e-03 8.435382e-02 1.250211e-12 3.829132e-06  
1592 3.941749e-01 4.405385e-01 6.388361e-06 5.833890e-08 9.468202e-02 6.928716e-03 7.687220e-02 1.788645e-12 4.873755e-06  
1593 2.023006e-01 4.161578e-01 5.572718e-06 4.709045e-08 2.280281e-01 2.341741e-03 4.849318e-02 8.637080e-13 1.884733e-06  
1594 4.083029e-01 5.188965e-01 4.633899e-06 2.577468e-08 2.043199e-01 6.577660e-03 8.538431e-02 2.227084e-12 1.922389e-06  
1595 2.452548e-01 2.501780e-01 3.447178e-06 5.747740e-08 1.068679e-01 5.257976e-03 6.367189e-02 1.899235e-12 5.328021e-06  
1596 1.362401e-01 1.811396e-01 7.510326e-06 6.723891e-08 2.127758e-01 7.797643e-03 6.654170e-02 1.931481e-12 3.175375e-06  
1597 2.244651e-01 2.905760e-01 7.436892e-06 6.078376e-08 1.419841e-01 2.455672e-03 8.132473e-02 1.634479e-12 5.508298e-06  
1598 1.737230e-01 2.189653e-01 2.645776e-06 5.850097e-08 6.521776e-02 5.526314e-03 8.601515e-02 1.622491e-12 4.577017e-06  
1599 1.405915e-01 2.198362e-01 6.957396e-06 3.445778e-08 1.428751e-01 3.547671e-03 8.633250e-02 1.438168e-12 4.023167e-06  
1600 1.742101e-01 2.461896e-01 4.282063e-06 2.098146e-08 1.482655e-01 5.264722e-03 7.587503e-02 1.291013e-12 4.448727e-06  
1601 1.253902e-01 2.223458e-01 7.366373e-06 4.137208e-08 1.285927e-01 6.626456e-03 6.854007e-02 9.297076e-13 3.118256e-06  
1602 3.597994e-01 4.208084e-01 6.014534e-06 5.939918e-08 2.319057e-01 2.466651e-03 4.461372e-02 2.059893e-12 4.498427e-06  
1603 1.539673e-01 1.696252e-01 5.288653e-06 7.075064e-08 6.113250e-02 5.353822e-03 7.348811e-02 1.951125e-12 1.638876e-06  
1604 2.195457e-01 4.161931e-01 5.782287e-06 3.186837e-08 2.135395e-01 2.738905e-03 4.983686e-02 1.933835e-12 2.140482e-06  
1605 1.192236e-01 1.801625e-01 4.875527e-06 5.305388e-08 2.159921e-01 7.639448e-03 8.431247e-02 2.197703e-12 1.833922e-06  
1606 3.444914e-01 3.696388e-01 3.777365e-06 4.693506e-08 1.692753e-01 5.266403e-03 7.048500e-02 1.974591e-12 4.726599e-06  
1607 3.538546e-01 4.002154e-01 6.543022e-06 3.200224e-08 1.621254e-01 2.811099e-03 4.641648e-02 8.442217e-13 5.468107e-06  
1608 2.765531e-01 3.073858e-01 2.628631e-06 3.924191e-08 6.028354e-02 7.470278e-03 8.331342e-02 1.141666e-12 1.487216e-06  
1609 2.600369e-01 3.039570e-01 4.247276e-06 2.821817e-08 1.318614e-01 3.121018e-03 8.065743e-02 1.487298e-12 1.492295e-06  
1610 2.916158e-01 3.708074e-01 8.194759e-06 5.952804e-08 1.937665e-01 3.706861e-03 8.137409e-02 1.638404e-12 3.935731e-06  
1611 2.068571e-01 4.207157e-01 6.072806e-06 5.088506e-08 2.294499e-01 7.329343e-03 5.355188e-02 2.174508e-12 5.352748e-06  
1612 2.670960e-01 3.069223e-01 8.321422e-06 5.919912e-08 2.182790e-01 6.237908e-03 5.420139e-02 2.125037e-12 1.519100e-06  
1613 2.000289e-01 2.109794e-01 5.693666e-06 5.744785e-08 7.965377e-02 6.550676e-03 8.530752e-02 1.354246e-12 2.226290e-06  
1614 4.074129e-01 5.199196e-01 8.246375e-06 3.962819e-08 1.907485e-01 4.457189e-03 7.462068e-02 5.794569e-13 1.895742e-06  
1615 2.639660e-01 2.854106e-01 7.904328e-06 2.081378e-08 7.025348e-02 3.008009e-03 7.157214e-02 6.144187e-13 3.618438e-06  
1616 2.948134e-01 5.156961e-01 6.787134e-06 3.548127e-08 2.246624e-01 7.204781e-03 8.830577e-02 7.062710e-13 1.907236e-06  
1617 2.037204e-01 2.908477e-01 7.680587e-06 6.205764e-08 1.537026e-01 2.071945e-03 8.496711e-02 2.105187e-12 3.526923e-06  
1618 4.171966e-01 5.579799e-01 5.757708e-06 5.942023e-08 2.279418e-01 3.943112e-03 6.938523e-02 1.580388e-12 1.722684e-06  
1619 4.208362e-01 4.867836e-01 3.001176e-06 6.927942e-08 8.262781e-02 7.539100e-03 5.175427e-02 2.050307e-12 4.535884e-06  
1620 3.454215e-01 4.418069e-01 8.872392e-06 6.610807e-08 1.010337e-01 6.174872e-03 6.330765e-02 1.292926e-12 1.832659e-06  
1621 3.396561e-01 3.421586e-01 9.137906e-06 4.738254e-08 6.688998e-02 5.821850e-03 4.302407e-02 1.032965e-12 5.183226e-06  
1622 2.245208e-01 3.017923e-01 2.819489e-06 3.622834e-08 1.442075e-01 5.859934e-03 5.385240e-02 2.042523e-12 5.025356e-06  
1623 2.153855e-01 3.013312e-01 6.778259e-06 4.506173e-08 2.378125e-01 6.504550e-03 6.074774e-02 1.731190e-12 2.757559e-06  
1624 2.226138e-01 4.291315e-01 7.437342e-06 2.492941e-08 2.140875e-01 5.991462e-03 8.570659e-02 1.184308e-12 3.659245e-06  
1625 3.262141e-01 3.333114e-01 6.007991e-06 4.030684e-08 7.793907e-02 4.069631e-03 7.399572e-02 1.003456e-12 4.538077e-06  
